title,year,synopsis
Vertigo ,1958,"
                                                        San Francisco police detective John “Scottie” Ferguson is forced to retire after he is involved in a rooftop chase and his acrophobia and accompanying vertigo leads to the death of a fellow officer.  Although Scottie hopes to overcome his phobia, his longtime friend, Midge Wood, an artist who is in love with him, cautions him that only a severe emotional shock might snap him out of it.  One day, Scottie tells Midge that he has been contacted by Gavin Elster, an old college friend.  Scottie meets with Elster at his office near the waterfront, where Elster oversees a shipbuilding business.  Elster informs Scottie that he is worried about his young, blonde wife Madeleine, whose rich family built the business that Elster runs.  Scottie is baffled by Elster’s claims that Madeleine has been having blackouts and seems to be possessed by someone from the past.  Although Scottie is reluctant to become involved, Elster convinces him that he needs a friend to observe Madeleine before he commits her to a mental institution.  That night, Scottie goes to Ernie’s, a popular restaurant, so that he can see Madeleine for the first time as she dines with her husband.  Scottie is awed by Madeleine’s beauty and the next morning, follows her as she leaves home and goes to a flower shop to buy a nosegay.  Seeming to be in a trance, Madeleine then goes to the cemetery of the old Mission Dolores and stands before a grave.  After Madeleine departs, Scottie reads the gravestone, which belongs to Carlotta Valdes, who died in 1857 at the age of 26, the same age as Madeleine. ...
                                                        "
Schindler's List ,1993,"
                                                        In September 1939, at the onset of World War II, German entrepreneur and Nazi party member Oskar Schindler goes to Krakow, Poland, where tens of thousands of Polish Jews have been forced to relocate under German occupation. Schindler wants to open a ceramics factory but lacks the necessary capital. He asks Jewish accountant Itzhak Stern to help him recruit Jewish investors, who would go unnamed, as Jews are no longer allowed to own businesses. Stern rejects the idea. However, in March 1941, when Krakow Jews are forced out of their homes and into a sixteen-block walled ghetto, Stern reconsiders. He recruits investors, who initially balk at Schindler’s offer to repay them in ceramic goods, but agree to invest when Schindler convinces them their money will be of no value in the ghetto. Itzhak Stern recruits Jewish workers for Schindler’s factory. Because it is located outside the ghetto, the workers must be deemed “essential” and receive blue cards to allow them to come and go. Stern helps some elderly and handicapped Jews get hired by forging paperwork to prove they are essential.  Schindler reprimands him for this practice, but does not fire anyone. He establishes contracts with the German army, and the business gets off to a strong start. Schindler’s estranged wife, Emilie, arrives, and is not surprised when she finds her husband with another woman. Schindler brags to Emilie that he has finally achieved success, and is proud to be a war profiteer. They briefly reunite, but when Emilie offers to stay, if he promises to be faithful, Schindler sends her away. One day, he gets word that Stern has been sent to a concentration camp. He rushes ...
                                                        "
Lawrence of Arabia ,1962,"
                                                        In 1916 British Intelligence supports the Arab rebellion against the Turkish-German alliance. Dryden, a civilian member of the Arab Bureau, selects Lt. T. E. Lawrence, an enigmatic twenty-nine-year-old scholar, to evaluate the Arab revolt. Enthusiastically undertaking this assignment, the officer contacts Prince Feisal, a rebel leader, and persuades Feisal to lend him a force of fifty men. With this skeleton band, accompanied by Sherif Ali ibn el Karish, Lawrence crosses the Nefud Desert. At the journey's end, however, Lawrence learns that one of his men is missing. Undeterred by Arab assertions that the missing man's death had been divinely decreed, Lawrence returns to the desert and rescues him, earning thereby Ali's friendship and the respect of his subordinates. At a well Lawrence is confronted by the sheikh Auda Abu Tayi, whom he persuades to join the assault on Aqaba, a Turkish port at the desert's edge. The Turks, surprised by the overland attack, are routed, and the victory revitalizes the Arab rebellion. Arab unity, however, is undermined by internecine warfare. When one of his troop slays one of Auda Abu Tayi's henchmen, Lawrence in expiation executes the murderer, who proves to be the Arab he had saved in the desert. Unnerved, Lawrence returns to Cairo. Delighted by Lawrence's military success, however, General Allenby provides him with arms and money for future victories. Lawrence launches a series of successful guerrilla raids, which, as reported by American journalist Jackson Bentley, establish his international reputation. While on a scouting mission with Ali, Lawrence is captured and tortured by the Turks. He returns to Cairo, where General Allenby persuades him to spearhead an attack on Damascus. After the battle, Lawrence leads his men ...
                                                        "
Gone with the Wind ,1940,"
                                                        In 1861, Scarlett O'Hara, the headstrong sixteen-year-old daughter of wealthy Georgia plantation-owner Gerald O'Hara, is sick of hearing talk about going to war with the North. She much prefers to have beaux like Brent and Stuart Tarleton talk about the next day's barbecue at Twelve Oaks, the neighboring Wilkes plantation.  When the twins reveal the “secret” that Ashley Wilkes is planning to marry his cousin Melanie Hamilton from Atlanta, Scarlett refuses to believe it because she is in love with Ashley herself.  Her father later confirms the news when he returns home to Tara, the O'Hara plantation, and advises Scarlett to forget about the serious-minded Ashley, because “like should marry like.”  At the barbeque, Scarlett acts coquettish with all of the young men, hoping to make Ashley jealous, then, during an afternoon rest, sneaks into the library to see him.  He says that he will marry Melanie because they are alike, but leads Scarlett to believe that he loves her instead of Melanie.  When he leaves, Scarlett angrily throws a vase and is startled to discover Rhett Butler, a notorious rogue from Charleston, who has been lying unnoticed on a couch the entire time.  She is angry at his seeming indifference to the seriousness of her feelings for Ashley and annoyed by his frank appreciation of her physical beauty.  Later, when news arrives that war has broken out between the North and the South, Scarlett is stunned to see Ashley kiss Melanie goodbye as he leaves to enlist, and in a daze accepts the impulsive proposal of Melanie's brother Charles."
Singin' in the Rain ,1952,"
                                                        In 1927, fans gather at Hollywood's Chinese Theatre for the premiere of Monumental Picture's latest romantic epic, "
Ben-Hur ,1959,"
                                                        During the reign of the emperor Tiberius, the Roman officer Messala arrives in Jerusalem as the new Tribune, head of the Roman garrison. Having spent much of his boyhood in Jerusalem while his father was provincial governor of Judea, Messala became close friends with Judah Ben-Hur, a Jewish prince from a rich and influential family. On the night of his return, Messala is visited by Judah, and the two men warmly reminisce about happy times of their boyhood. Messala tells Judah that the emperor wants the recent rebelliousness of Judea crushed and asks for his help. Judah is uneasy with the request but, as he is against violence, agrees to speak with other influential Jews. The next day, Messala visits Judah, his mother Miriam and sister Tirzah.  Messala gives Tirzah a beautiful brooch, and Judah presents Messala with a horse he has raised, but the men argue over Messala’s insistence that Judah tell him the names of Jewish leaders who will not denounce rebellion.  Judah refuses, severing their friendship. That night, Simonides, the faithful steward of the house of Hur, returns from Antioch with good news of the family's increasing wealth. He asks for permission for his daughter Esther to marry a free man, and says that she wants to ask Judah personally for permission. Judah is attracted to Esther, whom he has not seen since childhood, and grants permission, saying her freedom will be his wedding gift, even though he knows that she is marrying only because her father wishes it.  Later that night, when Judah and Esther are alone, they exchange a passionate kiss. Judah then takes Esther's slave ring and promises to wear ...
                                                        "
Toy Story ,1995,
Yankee Doodle Dandy ,1943,"
                                                        Actor and songwriter George M. Cohan is impersonating President Franklin D. Roosevelt in the musical show "
,,
Blade Runner ,1982,"
                                                        In 2019 Los Angeles, California, police squads called Blade Runner Units seek out Replicants, advanced robots created by the Tyrell Corporation that are nearly identical to humans. Because Replicants were being used as slaves in “Off-world” colonies on other planets, they led a bloody revolt against humans and are no longer welcome on Earth. Blade Runners are responsible for disabling, or “terminating,” them. Holden, a Blade Runner, interrogates Leon Kowalksi, a new employee of the Tyrell Corporation suspected of being a Replicant. When Holden asks him to describe his mother, Kowalski shoots the agent. Later, ex-Blade Runner Deckard orders from an Asian food stand and remembers that his ex-wife used to call him “Sushi,” implying that he was a cold fish. A policeman named Gaff appears and informs Deckard in another language that he is under arrest. As Deckard rides in Gaff’s flying police vehicle, he guesses that Gaff is from the streets due to his use of “city speak,” a newfangled language combining Japanese, Spanish, and German. Deckard is escorted to an office where Bryant, his former boss, orders him to find four Replicants who killed the passengers and crew of an off-world shuttle and later landed on Earth. Deckard refuses, telling Bryant to employ Holden in the task, but Bryant informs him that Holden was critically injured by Kowalski. When Deckard tries to walk out, Bryant reminds him that he has no choice but to cooperate. Later, Bryant and Deckard watch video footage of Kowalski, and Bryant explains that the suspected Replicants recently escaped from an off-world colony – three male and three female. Two have since died in an attempt to infiltrate the Tyrell Corporation, but ...
                                                        "
Do the Right Thing ,1989,"
                                                        In Brooklyn, New York, Mister Señor Love Daddy announces on his radio show that the temperature will exceed 100 degrees Fahrenheit that day. Outside a church, a mentally handicapped man named Smiley holds up pictures of Martin Luther King, Jr., and Malcolm X, saying that even though they are dead, people still need to fight against racism. Mookie, a young African-American man, counts his cash at home then wakes up his sister, Jade, who fights to remain asleep. Down the block, Mookie’s boss, an Italian man named Sal Frangione, opens his shop, Sal’s Famous Pizzeria. As Sal’s sons, Pino and Vito, fight over who is going to sweep, Pino expresses disdain for the family business.  Mookie reports to work, and is closely followed by an older African-American man, Da Mayor, who offers to sweep the sidewalk for one dollar. Elsewhere in the neighborhood, teenagers Cee, Ella, Punchy, and Ahmad hang out on a stoop as their friend “Radio Raheem” walks by, playing loud music by the hip-hop group, Public Enemy, from his portable stereo. Da Mayor, taking the dollar he earned from Sal to a convenience store to buy a beer, reprimands the Asian storeowners, Sonny and Kim, for running out of his preferred drink. Da Mayor passes by the house of an older woman named Mother Sister, and she accuses him of being a drunk. At home, a young Latina woman named Tina fights with her mother, who refuses to babysit for Tina’s son, Hector. Buggin Out, a young African-American man, becomes angry when he orders pizza from Sal and notices that the establishment’s “Wall of Fame” features pictures of white Italian-Americans only. Buggin Out and Sal ...
                                                        "
Pulp Fiction ,1994,
The Last Picture Show ,1971,"
                                                        One morning in November 1951, Sonny Crawford and Duane Jackson, co-captains of the dismal high school football team in Anarene, TX, shrug off insults about the team’s last game of the season.  Sonny relaxes with his friends, Sam the Lion, the aging but still vital cowboy who owns the small town’s café, pool hall and movie theater, and Sam’s ward, the mute, gentle Billy.  Sonny and Duane have breakfast at the café, run by salty-tongued waitress Genevieve, and discuss their usual Saturday night plans of seeing the “picture show” and necking with their girl friends in the pickup they jointly own.  Sonny goes to work and that night, while Duane and his girl friend, Jacy Farrow, take the first turn in the pickup, Sonny joins his girl, Charlene Duggs, in the theater.  Charlene complains that Sonny has forgotten their one year anniversary, but Sonny is more interested in watching Jacy, the most beautiful and wealthy girl in town, as she and Duane come into the theater and begin to kiss.  Sonny and Charlene then take their turn in the pickup, but the frustrated Sonny, longing to do more than fondle Charlene’s breasts, ends their stale relationship when she becomes petulant.  Later at the café, Genevieve comforts Sonny and wonders why both he and Duane live in a boardinghouse rather than with their parents.  At basketball practice one afternoon, Coach Popper offers to get Sonny excused from class the next day for driving the coach’s wife Ruth to her doctor’s appointment, and Sonny agrees.  That night, Jacy is confronted by her alcoholic mother Lois, who does not want her daughter to waste ...
                                                        "
The French Connection ,1971,"
                                                        From his home in Marseilles, millionaire Alain Charnier runs the largest heroin-smuggling syndicate in the world, employing ruthless Pierre Nicoli to assassinate his adversaries. While they refine their plan to smuggle $32 million worth of heroin into the United States by hiding it in the car of their new accomplice, French television personality Henri Devereaux, in New York City two police detectives continue their dogged pursuit of drug dealers. Jimmy “Popeye” Doyle and his partner, Buddy “Cloudy” Russo, use intimidation and psychological tactics to taunt and trap their targets, sometimes skirting the boundaries of ethical behavior. One night after a typically grueling day of chasing down suspects, Popeye convinces Cloudy to go to the local club with him for a drink. There, Popeye, who thinks of little else besides his job, grows suspicious of the patrons at one table who are celebrating boisterously. “Just for fun,” he and Cloudy tail the main carouser, Sal Boca, all night until he returns to the diner he runs with his wife Angie. Days later, they are still watching Sal, who has a record of petty crimes, as does his brother Lou. Cloudy, posing as a patron, is able to observe the steady traffic of local businessmen who hold clandestine meetings in the back room with Sal. One day, the detectives tail Sal to the apartment building of drug financier Joel Weinstock, and exult that they have finally connected him to a known criminal. To obtain insider information, Popeye storms into a gritty bar frequented by drug users and small-time dealers. Shoving the customers against the wall and humiliating them, Popeye picks their pockets for drugs and makes a few arrests. His real ...
                                                        "
Goodfellas ,1990,"
                                                        In 1970 New York, gangsters Henry Hill, Tommy DeVito, and James “Jimmy the Gent” Conway, hear banging as they drive through a remote area at night. Stopping at the side of the road, Henry opens the trunk to reveal a man covered in blood, barely alive. Tommy curses the man and stabs him, while Jimmy shoots him multiple times. Henry, who is half-Irish and half-Italian, recalls that from a young age, he always wanted to be a gangster. Fifteen years earlier, in 1955 Brooklyn, young Henry lives across the street from a taxicab stand run by Tuddy Cicero, whose brother, Paul “Paulie” Cicero, is a local Mafia boss. Henry gets a job working at the cabstand. His abusive father approves at first, but beats him when he learns Henry has been skipping school. Eventually, Henry drops out of school entirely, performing odd jobs for the Mafia, waiting on gangsters, selling cargo from stolen trucks, and vandalizing cars. He achieves a milestone when he is arrested for selling stolen cigarettes. After he is let off, Henry is greeted by Jimmy Conway, a formidable Irishman with a knack for hijacking trucks, who tells him he just learned the two greatest things in life: “Never rat on your friends, and always keep your mouth shut.” In 1963, at a bar run by Mafia connection Sonny Bunz, Henry discusses a potential heist at Idlewild Airport with Jimmy Conway and Frenchy, a corrupt airport guard. Meanwhile, Tommy DeVito, a known hothead, beats Sonny Bunz for demanding he pay his outstanding $7,000 tab. Later, Tommy talks Henry into a double date with two Jewish girls from Five Towns, Long Island. Preoccupied by a meeting he ...
                                                        "
Sophie's Choice ,1982,"
                                                        In 1947, a young Southern man nicknamed “Stingo” chases his dream of becoming a novelist and rents a room in the ""Pink Palace"" boarding house in Brooklyn, New York. One day, he finds a book of Walt Whitman poetry containing a letter inviting him to dine with his upstairs neighbors, a Jewish pharmaceutical researcher named Nathan Landau, and his Polish émigré girl friend, Sophie Zawistowska. After overhearing the couple loudly making love, Stingo later witnesses Nathan abusing Sophie on the staircase. When Nathan catches Stingo eavesdropping, he mocks his Southern drawl and leaves Sophie, who tearfully excuses his behavior and returns to her room. That evening, Sophie brings Stingo a tray of food, and he notices numbers branded onto her forearm from her time spent in a World War II Nazi concentration camp. As Stingo returns his empty dishes, he watches Nathan enter the house and collapse in Sophie’s loving embrace. The next morning, Nathan and Sophie invite Stingo for an outing to Coney Island. Over breakfast, Nathan is affectionate with Sophie and explains that he nursed his ailing girl friend back to health after her period in captivity. She solemnly withdraws when discussing her late parents, whom she says spoke out against the Nazis. Although Stingo is unable to forget the heated words exchanged between the couple the previous night, he stays at the boarding house and soon becomes their closest friend. In one of her English lessons, Sophie’s teacher notices that she has grown increasingly anemic, and she later passes out in the library. Nathan instantly appears at her side and brings her home, where he puts her to sleep and cooks her dinner. She does not ...
                                                        "
Swing Time ,1936,"
                                                        Already late for his hometown wedding, featured troupe dancer and professional gambler John ""Lucky"" Garnett is delayed further when his fellow dancers, who want to keep him single and in show business, convince him that the cuffless trousers of his morning suit are out of style and need tailoring.  By the time Lucky arrives at his fiancée Margaret Watson's home, her infuriated father, Judge Watson, has called off the wedding.  Once calm, Watson tells Lucky that, if he wants a second chance with Margaret, he must earn at least $25,000 in New York City.  Determined to make good, Lucky accepts Watson's challenge and with his friend, magician Everett ""Pop"" Cardetti, and his lucky quarter, hops a train to the city. Shortly after they arrive, Lucky, broke but still in his wedding clothes, asks a pretty stranger, Penelope ""Penny"" Carrol, for change for his lucky quarter so that Pop can buy a pack of vending machine cigarettes.  When the machine gives them a flood of unexpected change, Lucky chases after Penny to ask for his quarter back, but she mistakes his eagerness for mashing and refuses his request. After Pop pickpockets the quarter from Penny's purse, Penny accuses Lucky of theft and calls a policeman. To Penny's dismay, the policeman sides with the well-dressed Lucky, and Penny leaves in a huff for her job as an instructor at the Gordon Dancing Academy. Lucky follows Penny into the Academy and poses as an ardent but awkward pupil. Frustrated by Lucky's seemingly hopeless dancing, a still angry Penny insults him in front of Gordon, the Academy's fussy owner, and is fired.  To save Penny's job, Lucky insists ...
                                                        "
The Sixth Sense ,1999,
Bringing Up Baby ,1938,"
                                                        On the eve of his wedding, Dr. David Huxley, a dedicated paleontologist at the Stuyvesant Museum of Natural History, is sent by his fiancée and assistant, Alice Swallow, to play golf with Alexander Peabody, the lawyer for Mrs. Carleton Random, a potential million-dollar donor to the museum.  At the golf course, flighty heiress Susan Vance plays David's ball instead of her own and then, mistaking his car for hers, drives off with him clinging to his runningboard. That night while hunting for Peabody at an exclusive restaurant, David again encounters Susan, who causes him to slip on his top hat, embarrass himself in front of psychologist Dr. Fritz Lehman, tear his jacket and split the back of her gown.  The next morning, Susan telephones David, who is preparing to meet Alice with his new possession, a rare brontasaurus fossil, and begs him to help her with her new possession, ""Baby,"" a tamed leopard that her brother has shipped to her from Brazil.  David, however, refuses to get involved with Baby until he hears Susan's phony cries of distress over the telephone.  After rushing to her apartment, David finds Susan unmaimed, and Baby yearning to hear his favorite record, ""I Can't Give You Anything But Love.""  Disgusted by Susan's antics, David marches out of the apartment, but is followed down the street by both Susan and an unleashed Baby. Thus cornered, David finally agrees to help Susan take Baby to her aunt Elizabeth's home in Connecticut, but admonishes her that he has to return to the city to marry Alice by nightfall.  While driving on the road to Aunt Elizabeth's, a distracted Susan rams ...
                                                        "
12 Angry Men ,1957,"
                                                        At the close of a murder trial conducted in a New York City courtroom, the judge gives the jury its final instructions, reminding them that a guilty verdict will mean an automatic death sentence for the defendant, a Puerto Rican youth accused of killing his father.  Once in the stiflingly hot jury room, Juror 3, a middle-aged businessman who is estranged from his own son, loudly proclaims that the boy is guilty and that all ghetto youths are criminals, while Juror 7, a fast-talking salesman, wants the jury to reach a decision quickly because he wishes to attend a baseball game that evening. Juror 1, the foreman, who is a genial high school football coach, conducts a preliminary ballot and, without hesitation, eleven jurors vote for conviction. Juror 8, a sensitive and thoughtful architect, casts the only dissenting vote, stating that he has doubts about the case and wishes to give the boy, who has had a difficult life in the ghetto, a fair hearing.  Juror 10, approximately sixty years old and the owner of a garage, gruffly declares that the architect is a weak-willed ""bleeding heart"" before launching into a diatribe against slum dwellers.  Wishing to restore calm, Juror 12, a young advertising executive, suggests that each juror present the reasons behind his verdict as a means of convincing Juror 8.  The salesman, the garage owner and the businessman all suggest that the boy's ethnicity and class have been enough to convince them he murdered his father, while Juror 2, a shy and stammering bank clerk, appears to be maintaining his guilty verdict because he feels intimidated by the more outspoken jurors. Juror 4, ...
                                                        "
